ANO_PRESENTACION,contribuyentes,valor_aporte,aporte_promedio_por_contribuyente,variacion_valor_pct
2006,23920,558462850,23347.109113712373,
2007,20479,507947168,24803.318912056253,-9.04548655295513
2008,17395,444206800,25536.464501293474,-12.548621592078646
2009,10895,260667703,23925.443139054612,-41.318389768008956
2010,11247,306489800,27250.804659020185,17.57873970293895
2011,9547,220007000,23044.621347020005,-28.21718699937159
2012,6087,171579000,28187.777230162643,-22.012026890053495
2013,6062,173782999,28667.60128670406,1.2845389004481955
2014,5394,188740000,34990.730441231,8.606711292857817
2015,5133,187201000,36470.0954607442,-0.815407438804705
2016,7649,410364000,53649.365930186956,119.21036746598577
2017,10188,529060000,51929.7212406753,28.924564532951223
2018,8050,441615000,54859.00621118012,-16.528371073224214
2019,6895,408616000,59262.654097171864,-7.4723458215866785
2020,15774,857528000,54363.382781792825,109.86158153376273
2021,7682,474304000,61742.2546211924,-44.689386235784724
2022,5360,333452000,62211.19402985075,-29.69656591553097
2023,7728,629079000,81402.56211180124,88.65653827237503
