ANO_PRESENTACION,ESTRATO,contribuyentes,valor_aporte,aporte_promedio_por_contribuyente
2006,0,1622,95410400,58822.68803945746
2006,1,1095,3049000,2784.4748858447488
2006,2,7112,34376000,4833.520809898762
2006,3,7530,119270150,15839.329349269588
2006,4,3833,109590300,28591.260109574745
2006,5,1364,69470000,50931.08504398827
2006,6,1364,127297000,93326.24633431085
2007,0,1495,86845600,58090.70234113713
2007,1,1239,3948000,3186.4406779661017
2007,2,7006,37979000,5420.924921495861
2007,3,6113,109659600,17938.753476198264
2007,4,2843,92039728,32374.156876538866
2007,5,869,51707000,59501.726121979285
2007,6,914,125768240,137602.01312910285
2008,0,1271,78080700,61432.49409913454
2008,1,759,2738000,3607.3781291172595
2008,2,5603,30975400,5528.359807246118
2008,3,5443,102056700,18750.082674995407
2008,4,2647,90513000,34194.55987910843
2008,5,826,48921000,59226.39225181598
2008,6,846,90922000,107472.81323877069
2009,0,862,53259200,61785.614849187936
2009,1,665,2070000,3112.781954887218
2009,2,3642,20613100,5659.829763866008
2009,3,3249,59626076,18352.131732840873
2009,4,1559,49181927,31547.098781270044
2009,5,441,25115400,56951.02040816326
2009,6,477,50802000,106503.14465408806
2010,0,870,72324200,83131.2643678161
2010,1,678,2462000,3631.268436578171
2010,2,3546,22383000,6312.1827411167515
2010,3,3354,64133000,19121.34764460346
2010,4,1738,62133000,35749.71231300345
2010,5,537,30197000,56232.774674115455
2010,6,524,52857600,100873.2824427481
2011,0,646,35185000,54465.94427244582
2011,1,747,3033000,4060.240963855422
2011,2,3525,24332000,6902.695035460993
2011,3,2591,52590000,20297.18255499807
2011,4,1309,44814000,34235.294117647056
2011,5,418,26152000,62564.59330143541
2011,6,311,33901000,109006.4308681672
2012,0,533,41292000,77470.91932457786
2012,1,534,2291000,4290.262172284644
2012,2,2010,15900000,7910.44776119403
2012,3,1687,39705000,23535.862477771192
2012,4,854,34388000,40266.978922716626
2012,5,270,15154000,56125.92592592593
2012,6,199,22849000,114819.09547738693
2013,0,509,37676000,74019.64636542239
2013,1,520,2168000,4169.2307692307695
2013,2,2154,19213999,8920.148096564531
2013,3,1618,36815000,22753.399258343634
2013,4,855,34895000,40812.865497076025
2013,5,218,14386000,65990.8256880734
2013,6,188,28629000,152281.914893617
2014,0,405,55268000,136464.19753086418
2014,1,509,2298000,4514.734774066797
2014,2,1992,18336000,9204.819277108434
2014,3,1400,33037000,23597.85714285714
2014,4,712,33816000,47494.38202247191
2014,5,209,15937000,76253.58851674641
2014,6,167,30048000,179928.14371257485
2015,0,369,37783000,102392.95392953929
2015,1,486,2204000,4534.979423868313
2015,2,1937,18182000,9386.6804336603
2015,3,1349,37856000,28062.268346923647
2015,4,667,35269000,52877.06146926537
2015,5,170,17296000,101741.17647058824
2015,6,155,38611000,249103.2258064516
2016,0,510,87602000,171768.6274509804
2016,1,542,3179000,5865.313653136532
2016,2,2664,28182000,10578.82882882883
2016,3,1885,65128000,34550.66312997347
2016,4,1306,86734000,66411.94486983155
2016,5,400,50973000,127432.5
2016,6,342,88566000,258964.91228070174
2017,0,409,170839000,417699.26650366746
2017,1,1293,7619000,5892.498066511987
2017,2,5119,41318000,8071.498339519438
2017,3,1827,68521000,37504.65243568692
2017,4,922,77408000,83956.61605206074
2017,5,311,51022000,164057.87781350483
2017,6,307,112333000,365905.53745928337
2018,0,1909,155935000,81684.12781561026
2018,1,792,4569000,5768.939393939394
2018,2,3370,29859000,8860.237388724036
2018,3,1230,56702000,46099.186991869916
2018,4,456,64360000,141140.35087719298
2018,5,145,41630000,287103.4482758621
2018,6,148,88560000,598378.3783783783
2019,0,1474,159712000,108352.7815468114
2019,1,752,4223000,5615.691489361702
2019,2,2895,27064000,9348.53195164076
2019,3,1102,55019000,49926.49727767695
2019,4,443,62831000,141830.69977426637
2019,5,124,44012000,354935.48387096776
2019,6,105,55755000,531000.0
2020,0,3775,148704000,39391.7880794702
2020,1,800,4586000,5732.5
2020,2,5776,58288000,10091.412742382272
2020,3,3324,169885000,51108.60409145608
2020,4,1462,230389000,157584.81532147742
2020,5,395,105637000,267435.4430379747
2020,6,242,140039000,578673.5537190082
2021,0,1924,131220000,68201.6632016632
2021,1,497,2891000,5816.901408450704
2021,2,2813,28443000,10111.269107714184
2021,3,1457,79927000,54857.24090597117
2021,4,673,104082000,154653.78900445765
2021,5,182,50041000,274950.5494505495
2021,6,136,77700000,571323.5294117647
2022,0,1442,110988000,76968.09986130375
2022,1,387,2441000,6307.49354005168
2022,2,2035,19974000,9815.233415233415
2022,3,912,48717000,53417.76315789474
2022,4,365,58191000,159427.39726027398
2022,5,121,37733000,311842.97520661156
2022,6,98,55408000,565387.7551020408
2023,0,2225,271819000,122165.84269662922
2023,1,522,3373000,6461.685823754789
2023,2,2685,28169000,10491.24767225326
2023,3,1363,81449000,59757.1533382245
2023,4,623,113969000,182935.7945425361
2023,5,170,51098000,300576.4705882353
2023,6,140,79202000,565728.5714285715
