NOMBRE_LOCALIDAD,SECTOR,presupuesto_comprometido,registros
ANTONIO NARIÑO,Ambiente,4661530300,5
ANTONIO NARIÑO,"Cultura, recreación y deporte",17739527810,9
ANTONIO NARIÑO,"Desarrollo económico, industria y turismo",12024405660,3
ANTONIO NARIÑO,Gestión Publica,5356500000,3
ANTONIO NARIÑO,Gobierno,4874450000,2
ANTONIO NARIÑO,Hábitat,1063130000,1
ANTONIO NARIÑO,Integración social,499908090,1
ANTONIO NARIÑO,Mujeres,6364734560,3
ANTONIO NARIÑO,Salud,4928426540,2
ANTONIO NARIÑO,"Seguridad, Convivencia y Justicia",5529902450,3
BARRIOS UNIDOS,Ambiente,5972390000,4
BARRIOS UNIDOS,"Cultura, recreación y deporte",27122423280,25
BARRIOS UNIDOS,Gestión Publica,1746870000,1
BARRIOS UNIDOS,Gobierno,7960359060,10
BARRIOS UNIDOS,Hábitat,3169870000,1
BARRIOS UNIDOS,Integración social,3192390000,1
BARRIOS UNIDOS,Mujeres,14681141690,4
BARRIOS UNIDOS,Salud,4324440000,1
BARRIOS UNIDOS,"Seguridad, Convivencia y Justicia",3721323500,3
BOSA,Ambiente,30929530370,46
BOSA,"Cultura, recreación y deporte",92991001480,60
BOSA,"Desarrollo económico, industria y turismo",32194965760,32
BOSA,Gestión Publica,3170148273333,5
BOSA,Gobierno,28253932340,60
BOSA,Integración social,13286918340,11
BOSA,Mujeres,18503565350,15
BOSA,"Seguridad, Convivencia y Justicia",15887118550,53
CHAPINERO,Ambiente,5815773200,3
CHAPINERO,"Cultura, recreación y deporte",16168782330,5
CHAPINERO,"Desarrollo económico, industria y turismo",5491600920,1
CHAPINERO,Gobierno,5421158140,2
CHAPINERO,Hábitat,2757259950,1
CHAPINERO,Integración social,3949009720,1
CHAPINERO,Movilidad,8072310000,1
CIUDAD BOLÍVAR,AMBIENTE,4534400000,9
CIUDAD BOLÍVAR,Ambiente,12285200000,12
CIUDAD BOLÍVAR,"Cultura, recreación y deporte",93938725570,15
CIUDAD BOLÍVAR,"Desarrollo económico, industria y turismo",76762520000,4
CIUDAD BOLÍVAR,Gestión Publica,31611000000,5
CIUDAD BOLÍVAR,Gobierno,54600611350,7
CIUDAD BOLÍVAR,Hábitat,21565887490,7
CIUDAD BOLÍVAR,INTEGRACIÓN SOCIAL,542400000,1
CIUDAD BOLÍVAR,Integración social,35977970000,9
CIUDAD BOLÍVAR,MUJERES,566400000,1
CIUDAD BOLÍVAR,Mujeres,88089200000,3
CIUDAD BOLÍVAR,SALUD,1132800000,2
CIUDAD BOLÍVAR,Salud,6809860720,3
CIUDAD BOLÍVAR,"Seguridad, Convivencia y Justicia",44940000000,5
ENGATIVÁ,Ambiente,24826788340,7
ENGATIVÁ,"Cultura, recreación y deporte",71151136550,9
ENGATIVÁ,"Desarrollo económico, industria y turismo",18654090340,3
ENGATIVÁ,Gestión Publica,7222671020,3
ENGATIVÁ,Gobierno,25482657270,3
ENGATIVÁ,Hábitat,3838407270,1
ENGATIVÁ,Integración social,1764377300,1
ENGATIVÁ,MOVILIDAD,112365563640,2
ENGATIVÁ,Movilidad,71091548600,2
ENGATIVÁ,Mujeres,58308168730,3
ENGATIVÁ,Salud,12372253830,1
ENGATIVÁ,"Seguridad, Convivencia y Justicia",10743552900,13
FONTIBÓN,"Cultura, recreación y deporte",16272280040,9
FONTIBÓN,Movilidad,7986956000,1
FONTIBÓN,Salud,2141320000,6
FONTIBÓN,"Seguridad, Convivencia y Justicia",8002065740,8
KENNEDY,Ambiente,11302251670,4
KENNEDY,"Cultura, recreación y deporte",31944839400,3
KENNEDY,"Desarrollo económico, industria y turismo",30612950390,2
KENNEDY,Gestión Publica,11091520500,2
KENNEDY,Gobierno,70183150000,3
KENNEDY,Hábitat,10570480000,1
KENNEDY,Integración social,23909942400,2
KENNEDY,Mujeres,66339477760,3
KENNEDY,Salud,28165590000,1
KENNEDY,"Seguridad, Convivencia y Justicia",34323760000,6
LA CANDELARIA,Ambiente,7478477520,7
LA CANDELARIA,"Cultura, recreación y deporte",15543189880,9
LA CANDELARIA,"Desarrollo económico, industria y turismo",6457102540,4
LA CANDELARIA,Gestión Publica,2457740150,4
LA CANDELARIA,Gobierno,10604689670,6
LA CANDELARIA,Hábitat,2113391330,1
LA CANDELARIA,Integración social,490805670,1
LA CANDELARIA,Movilidad,39965553310,6
LA CANDELARIA,Mujeres,10331289320,3
LA CANDELARIA,Salud,1468441330,1
LA CANDELARIA,"Seguridad, Convivencia y Justicia",3423822890,4
LOS MÁRTIRES,Ambiente,6513830000,5
LOS MÁRTIRES,"Cultura, recreación y deporte",17306011250,8
LOS MÁRTIRES,"Desarrollo económico, industria y turismo",12175616920,3
LOS MÁRTIRES,Gestión Publica,3460210000,3
LOS MÁRTIRES,Gobierno,11838330040,3
LOS MÁRTIRES,Hábitat,2280100000,1
LOS MÁRTIRES,Integración social,5770390000,7
LOS MÁRTIRES,Mujeres,8517420000,3
LOS MÁRTIRES,Salud,2391558910,2
LOS MÁRTIRES,"Seguridad, Convivencia y Justicia",4500580000,4
PUENTE ARANDA,Ambiente,5432672270,3
PUENTE ARANDA,"Cultura, recreación y deporte",21317281620,7
PUENTE ARANDA,"Desarrollo económico, industria y turismo",5953024980,2
PUENTE ARANDA,Gestión Publica,6189432800,5
PUENTE ARANDA,Gobierno,5154175550,3
PUENTE ARANDA,Hábitat,1979559230,1
PUENTE ARANDA,Integración social,4729770370,2
PUENTE ARANDA,Mujeres,17527719020,3
PUENTE ARANDA,Salud,661183530,1
PUENTE ARANDA,"Seguridad, Convivencia y Justicia",2391697630,2
RAFAEL URIBE URIBE,Ambiente,25650189950,5
RAFAEL URIBE URIBE,"Cultura, recreación y deporte",76538718910,12
RAFAEL URIBE URIBE,"Desarrollo económico, industria y turismo",39963505960,3
RAFAEL URIBE URIBE,Gestión Publica,17289665830,4
RAFAEL URIBE URIBE,Gobierno,27853655670,2
RAFAEL URIBE URIBE,Hábitat,16311810000,1
RAFAEL URIBE URIBE,Integración social,29224132870,4
RAFAEL URIBE URIBE,Movilidad,128911615000,7
RAFAEL URIBE URIBE,Mujeres,35215801470,3
RAFAEL URIBE URIBE,Salud,17474617350,1
RAFAEL URIBE URIBE,"Seguridad, Convivencia y Justicia",19925880810,6
SAN CRISTÓBAL,Ambiente,14439198460,6
SAN CRISTÓBAL,"Cultura, recreación y deporte",88125439070,13
SAN CRISTÓBAL,"Desarrollo económico, industria y turismo",12784000000,5
SAN CRISTÓBAL,Gestión Publica,15264904230,5
SAN CRISTÓBAL,Gobierno,17234806680,6
SAN CRISTÓBAL,Hábitat,9807325140,3
SAN CRISTÓBAL,Integración social,4684221800,1
SAN CRISTÓBAL,Movilidad,160894421880,7
SAN CRISTÓBAL,Mujeres,32340142940,4
SAN CRISTÓBAL,Salud,10631989690,3
SAN CRISTÓBAL,"Seguridad, Convivencia y Justicia",28942718900,13
SANTA FE,Ambiente,11208001560,11
SANTA FE,"Cultura, recreación y deporte",114985164850,46
SANTA FE,"Desarrollo económico, industria y turismo",22282100000,3
SANTA FE,Gestión Publica,9836152810,2
SANTA FE,Gobierno,12707497590,4
SANTA FE,Hábitat,1177014770,4
SANTA FE,Integración social,10592295530,13
SANTA FE,Movilidad,67258403150,5
SANTA FE,Mujeres,25427580000,3
SANTA FE,Salud,2465981320,1
SANTA FE,"Seguridad, Convivencia y Justicia",8893680000,3
SUBA,Ambiente,34203452490,7
SUBA,"Cultura, recreación y deporte",127389921080,10
SUBA,Gestión Publica,20578234530,2
SUBA,Gobierno,37877672870,3
SUBA,Hábitat,20779840920,1
SUBA,Integración social,29690656120,23
SUBA,Movilidad,45926106420,3
SUBA,Mujeres,50214800000,6
SUBA,Salud,17710630000,1
SUBA,"Seguridad, Convivencia y Justicia",29474995690,8
SUMAPAZ,AMBIENTE,1725300000,3
SUMAPAZ,Ambiente,14972533270,37
SUMAPAZ,"CULTURA, RECREACIÓN Y DEPORTE",7821350000,18
SUMAPAZ,"Cultura, recreación y deporte",44984924690,66
SUMAPAZ,"Desarrollo económico, industria y turismo",16987315500,13
SUMAPAZ,Educación,4445183090,1
SUMAPAZ,GESTIÓN PÚBLICA,1683200000,5
SUMAPAZ,Gestión Publica,10182229690,18
SUMAPAZ,Gobierno,6865574980,8
SUMAPAZ,Hábitat,14257092140,11
SUMAPAZ,Integración social,3157918470,11
SUMAPAZ,Movilidad,113488556910,12
SUMAPAZ,Mujeres,16628773120,15
SUMAPAZ,"SEGURIDAD, CONVIVENCIA Y JUSTICIA",1787600000,3
SUMAPAZ,Salud,1450000000,7
SUMAPAZ,"Seguridad, Convivencia y Justicia",4820540810,26
TEUSAQUILLO,Ambiente,4981345450,4
TEUSAQUILLO,"Cultura, recreación y deporte",22812258420,13
TEUSAQUILLO,"Desarrollo económico, industria y turismo",10175070000,3
TEUSAQUILLO,Gestión Publica,3414670120,3
TEUSAQUILLO,Gobierno,2188266780,3
TEUSAQUILLO,Hábitat,2294289570,1
TEUSAQUILLO,Integración social,8680726600,2
TEUSAQUILLO,Mujeres,11305728810,3
TEUSAQUILLO,Salud,1192764770,1
TEUSAQUILLO,"Seguridad, Convivencia y Justicia",7077028700,8
TUNJUELITO,Ambiente,4329360000,3
TUNJUELITO,"Cultura, recreación y deporte",38566088640,12
TUNJUELITO,"Desarrollo económico, industria y turismo",10368131000,3
TUNJUELITO,Gestión Publica,6414309500,4
TUNJUELITO,Gobierno,6491913330,2
TUNJUELITO,Hábitat,1031445000,1
TUNJUELITO,Integración social,3125175160,1
TUNJUELITO,Movilidad,67955372010,3
TUNJUELITO,Mujeres,17139541210,3
TUNJUELITO,Salud,3269109730,1
TUNJUELITO,"Seguridad, Convivencia y Justicia",9250809000,4
USAQUÉN,Ambiente,7980503330,4
USAQUÉN,"Cultura, recreación y deporte",20209779050,8
USAQUÉN,"Desarrollo económico, industria y turismo",4118700000,1
USAQUÉN,Gestión Publica,1690000000,2
USAQUÉN,Gobierno,8222846260,5
USAQUÉN,Hábitat,3547902570,1
USAQUÉN,Integración social,8643603580,5
USAQUÉN,Movilidad,153736192220,10
USAQUÉN,Mujeres,14693610000,3
USAQUÉN,Salud,5322228240,1
USME,Ambiente,11819436690,3
USME,"Cultura, recreación y deporte",41444441380,24
USME,"Desarrollo económico, industria y turismo",22250000000,2
USME,Gestión Publica,8272380000,3
USME,Gobierno,50266560000,3
USME,Hábitat,1609948460,1
USME,Integración social,13355060540,1
USME,Mujeres,27718224870,8
USME,Salud,8701977020,1
USME,"Seguridad, Convivencia y Justicia",7484748760,5
